id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
229,Tarkowski,James,Tarkowski,9,2,60,0,0,a,,,,7.0,21,7.0,270,3,11.0,42097,21420,1,0,1,3,0,0,0,2,63,70.0,12.1,23.0,10.5,0.17,0.02,0.19,0.06,0.01,0.07,1.61,31,10.33,,,,3.5,7.0,7.0
230,Branthwaite,Jarrad,Branthwaite,9,2,55,0,0,a,,,,4.3,13,4.3,270,3,1.8,7160,4255,0,0,1,3,0,0,0,0,43,41.2,2.3,39.0,8.2,0.17,0.02,0.19,0.06,0.01,0.07,1.61,31,10.33,,,,2.4,4.3,4.3
231,Keane,Michael,Keane,9,2,49,-1,0,a,,,,0.0,0,0.0,0,0,1.0,400,4214,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
232,O'Brien,Jake,O'Brien,9,2,49,-1,0,a,,,,0.0,0,0.0,0,0,0.3,215,1127,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
233,Mykolenko,Vitalii,Mykolenko,9,2,45,0,0,a,,,,3.7,11,3.7,270,3,1.8,16585,7773,0,0,1,3,0,0,0,0,42,49.6,14.8,2.0,6.7,0.00,0.07,0.07,0.0,0.02,0.02,1.61,22,7.33,,,,2.4,3.7,3.7
234,Patterson,Nathan,Patterson,9,2,45,0,0,u,0,Has joined Torino permanently,2026-09-02T16:05:23.326971Z,0.0,0,0.0,0,0,0.0,0,313,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
235,Aznou,Adam,Aznou,9,2,40,0,0,u,0,Has joined Malaga on loan for the rest of the season,2026-09-01T13:23:16.934847Z,0.0,0,0.0,0,0,0.1,0,1138,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
236,Dewsbury-Hall,Kiernan,Dewsbury-Hall,9,3,65,0,0,a,,,,5.0,15,5.0,270,3,4.4,30121,21023,1,0,1,3,0,0,0,3,84,62.2,80.6,36.0,17.9,0.45,0.40,0.85,0.15,0.13,0.28,1.6,29,9.67,,2,,2.3,5.0,5.0
238,Grealish,Jack,Grealish,9,3,65,0,0,a,100,,2026-07-29T10:00:10.492904Z,0.7,2,1.0,32,0,0.3,5102,1642,0,0,0,1,0,0,0,0,9,1.0,0.6,0.0,0.2,0.02,0.13,0.15,0.06,0.37,0.43,0.84,2,5.62,,,,0.3,0.7,0.7
239,Garner,James,Garner,9,3,60,0,0,d,75,Unspecified injury - 75% chance of playing,2026-09-06T18:00:08.301702Z,1.3,4,1.3,148,2,0.1,1425,1140,0,0,0,2,1,0,0,0,34,8.2,12.9,2.0,2.4,0.00,0.10,0.10,0.0,0.06,0.06,0.83,19,11.55,2,1,1,0.7,1.3,1.0
242,George,Tyrique,George,9,3,55,0,0,a,,,,5.0,15,5.0,234,3,0.3,5862,1211,1,0,1,3,0,0,0,3,60,13.0,35.6,41.0,8.9,0.27,0.16,0.43,0.1,0.06,0.16,1.14,13,5.0,,,,2.7,5.0,5.0
243,Alcaraz,Carlos,Alcaraz Durán,9,3,50,0,0,a,,,,0.3,1,0.5,5,0,0.1,212,332,0,0,0,0,1,0,0,0,5,5.0,0.8,25.0,2.7,0.05,0.02,0.07,0.9,0.36,1.26,0.72,3,54.0,,,,0.2,0.3,0.3
244,Armstrong,Harrison,Armstrong,9,3,50,0,0,a,,,,3.7,11,3.7,266,3,0.4,4244,2316,0,1,1,3,1,0,0,0,42,40.0,27.0,4.0,7.2,0.09,0.11,0.20,0.03,0.04,0.07,1.64,30,10.15,,,,2.2,3.7,3.7
245,Dibling,Tyler,Dibling,9,3,54,-1,0,a,,,,0.0,0,0.0,0,0,0.0,85,126,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
246,Röhl,Merlin,Röhl,9,3,50,0,0,a,,,,2.0,6,2.0,249,3,0.1,178,255,0,0,1,2,1,0,0,0,35,22.2,15.3,2.0,4.0,0.00,0.20,0.20,0.0,0.07,0.07,1.65,24,8.67,,,,1.2,2.0,2.0
247,Hackney,Hayden,Hackney,9,3,55,0,0,a,100,,2026-08-26T22:00:07.797766Z,2.7,8,2.7,121,1,0.2,359,560,0,1,1,1,0,0,0,0,33,16.4,13.6,7.0,3.7,0.05,0.11,0.16,0.04,0.08,0.12,2.59,11,8.18,,3,,1.5,2.7,2.7
248,Beto,Norberto Bercique,Gomes Betuncal,9,4,54,-1,0,u,0,Has joined Fiorentina permanently,2026-09-02T16:05:23.357221Z,0.7,2,1.0,31,0,1.3,0,24076,0,0,0,0,0,0,0,0,5,3.0,0.3,5.0,0.8,0.09,0.00,0.09,0.26,0.0,0.26,5.57,1,2.9,,,,0.4,0.0,0.0
249,Barry,Thierno,Barry,9,4,56,1,1,a,,,,4.0,12,4.0,237,3,5.2,64236,22371,1,0,1,3,0,0,0,2,50,48.0,30.7,99.0,17.8,2.31,0.11,2.42,0.88,0.04,0.92,1.11,10,3.8,1,,,2.1,4.0,4.0
649,Maitland-Niles,Ainsley,Maitland-Niles,9,2,45,0,0,a,,,,7.0,7,7.0,13,0,0.0,2114,224,1,0,0,1,0,0,0,0,13,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.21,0.0,0.21,1.94,0,0.0,,,,1.6,1.8,1.8
654,Graham,Braiden,Graham,9,3,45,0,0,a,,,,0.0,0,0.0,0,0,0.0,295,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,1.0,1.0
250,Leno,Bernd,Leno,10,1,45,0,0,a,,,,2.0,6,2.0,270,3,3.1,6113,7732,0,0,0,7,0,0,8,0,30,48.8,0.0,0.0,4.9,0.00,0.00,0.00,0.0,0.0,0.0,2.08,0,0.0,,,,1.3,2.0,2.0
251,Lecomte,Benjamin,Lecomte,10,1,40,0,0,a,,,,0.0,0,0.0,0,0,1.2,2336,1401,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
252,McNally,Alfie,McNally,10,1,40,0,0,u,0,Has joined York City on loan for the rest of the season,2026-09-01T13:25:11.231240Z,0.0,0,0.0,0,0,0.1,0,587,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
253,Andersen,Joachim,Andersen,10,2,50,0,0,a,100,,2026-07-23T12:01:23.516350Z,0.7,2,1.0,180,2,0.1,667,657,0,0,0,4,1,0,0,0,12,17.8,12.9,2.0,3.3,0.00,0.10,0.10,0.0,0.05,0.05,2.0,15,7.5,,,,0.4,0.7,0.7
254,Robinson,Antonee,Robinson,10,2,45,0,0,a,,,,1.3,4,1.3,249,3,1.5,1674,6577,0,0,0,7,0,0,0,0,21,31.4,29.8,3.0,6.4,0.21,0.16,0.37,0.08,0.06,0.14,2.24,15,5.42,2,,,0.9,1.3,1.3
255,J.Cuenca,Jorge,Cuenca Barreno,10,2,45,0,0,a,,,,1.0,3,3.0,90,1,0.0,34,155,0,0,0,3,0,0,0,0,7,32.8,21.3,0.0,5.4,0.00,0.03,0.03,0.0,0.03,0.03,2.24,10,10.0,,,,0.7,1.0,1.0
256,Tete,Kenny,Tete,10,2,45,0,0,a,,,,0.0,0,0.0,0,0,0.2,45,624,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
257,Bassey,Calvin,Bassey,10,2,45,0,0,a,,,,1.0,3,1.0,270,3,0.7,675,2311,0,0,0,7,1,0,0,0,16,33.2,6.4,2.0,4.2,0.02,0.07,0.09,0.01,0.02,0.03,2.08,13,4.33,,,,0.7,1.0,1.0
258,Castagne,Timothy,Castagne,10,2,45,0,0,a,,,,4.3,13,4.3,247,3,0.9,2524,3718,0,2,1,6,1,0,0,0,38,38.0,28.5,23.0,8.9,0.67,0.37,1.04,0.24,0.13,0.37,1.63,15,5.47,,,,2.9,4.3,4.3
261,Iwobi,Alex,Iwobi,10,3,55,0,0,a,,,,2.0,6,2.0,262,3,0.8,775,3996,0,0,0,7,0,0,0,0,52,24.4,46.8,2.0,7.4,0.05,0.70,0.75,0.02,0.24,0.26,2.14,18,6.18,3,1,1,1.1,2.0,2.0
262,Smith Rowe,Emile,Smith Rowe,10,3,54,-1,-1,a,,,,0.7,2,1.0,25,0,0.3,306,1468,0,0,0,0,0,0,0,0,8,5.2,22.8,7.0,3.5,0.06,0.02,0.08,0.22,0.07,0.29,1.48,1,3.6,,,,0.4,0.7,0.7
263,Kevin,Kevin,Santos Lopes de Macedo,10,3,54,-1,0,a,,,,0.7,2,1.0,24,0,0.0,96,358,0,0,0,0,0,0,0,0,4,5.2,3.4,0.0,0.8,0.00,0.05,0.05,0.0,0.19,0.19,0.75,3,11.25,,4,,0.4,0.7,0.7
264,Bobb,Oscar,Bobb,10,3,55,0,0,a,,,,2.3,7,2.3,211,3,0.3,818,1614,0,0,1,6,0,0,0,0,35,16.8,26.2,12.0,5.5,0.32,0.92,1.24,0.14,0.39,0.53,1.89,15,6.4,,2,,1.3,2.3,2.3
265,Berge,Sander,Berge,10,3,50,0,0,a,,,,1.7,5,1.7,183,2,0.3,245,1276,0,0,0,5,0,0,0,0,37,19.6,51.0,9.0,8.0,0.03,0.33,0.36,0.01,0.16,0.17,2.41,8,3.93,,,,1.0,1.7,1.7
266,Cairney,Tom,Cairney,10,3,50,0,0,i,0,Knee injury - Expected back 10 Oct,2026-08-14T18:00:06.460944Z,0.0,0,0.0,0,0,0.0,6,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
268,King,Josh,King,10,3,55,0,0,a,,,,6.3,19,6.3,270,3,0.9,23060,5386,2,0,0,7,0,0,0,3,80,52.2,20.1,62.0,13.4,0.95,0.34,1.29,0.32,0.11,0.43,2.08,19,6.33,,,,3.5,6.3,6.3
269,Sessegnon,Ryan,Sessegnon,10,2,45,0,0,a,,,,1.0,3,1.0,50,0,0.4,100,1110,0,0,0,1,0,0,0,0,13,15.2,11.5,27.0,5.4,0.13,0.44,0.57,0.23,0.79,1.02,3.24,3,5.4,,3,,0.7,1.0,1.0
270,Reed,Harrison,Reed,10,3,45,0,0,a,,,,0.0,0,0.0,0,0,1.3,1398,4224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
271,Muniz,Rodrigo,Muniz Carvalho,10,4,55,0,0,a,,,,0.7,2,1.0,15,0,0.5,669,2085,0,0,0,0,0,0,0,0,11,6.0,11.5,7.0,2.5,0.40,0.00,0.40,2.4,0.0,2.4,0.18,1,6.0,,,,0.4,0.7,0.7
272,Kusi-Asare,Jonah,Kusi-Asare,10,4,45,0,0,a,,,,0.0,0,0.0,0,0,6.5,11708,18937,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
569,Gonzalo,Gonzalo,García,10,4,60,0,0,a,,,,3.3,10,3.3,270,3,4.4,11138,26734,1,0,0,7,0,0,0,0,45,42.8,7.1,64.0,11.4,1.44,0.22,1.66,0.48,0.07,0.55,2.08,13,4.33,1,,,1.7,3.3,3.3
570,Palacios,César,Palacios,10,3,55,0,0,a,,,,3.7,11,3.7,207,3,0.2,575,519,1,0,0,6,1,0,0,1,43,5.8,8.6,11.0,2.5,0.98,0.03,1.01,0.43,0.01,0.44,2.16,13,5.65,,,,2.0,3.7,3.7
580,Charles,Shea,Charles,10,3,50,0,0,a,,,,1.3,4,1.3,123,1,0.1,113,227,0,0,0,4,0,0,0,0,25,4.0,4.1,6.0,1.4,0.09,0.12,0.21,0.07,0.09,0.16,2.76,16,11.71,,,,0.8,1.3,1.3
610,De Fougerolles,Luc,De Fougerolles,10,2,40,0,0,d,75,Unspecified injury - 75% chance of playing,2026-08-28T11:30:08.336405Z,0.0,0,0.0,0,0,0.1,199,379,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
626,Zepa,Macauley,Zepa,10,3,45,0,0,a,,,,0.0,0,0.0,0,0,0.3,6025,2216,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
635,Larsson,Hugo,Larsson,10,3,50,0,0,a,,,,1.0,1,1.0,11,0,0.0,115,23,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.13,0.22,0.35,1.06,1.8,2.86,0.0,1,8.18,,,,0.2,1.5,1.5
636,Ángel,Manuel Ángel,Morán Ibáñez,10,3,50,0,0,a,,,,0.0,0,0.0,0,0,0.0,47,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,1.5,1.5
650,Affengruber,David,Affengruber,10,2,45,0,0,a,,,,0.0,0,0.0,0,0,0.0,99,30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,1.8,1.8
