id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
591,Enciso,Julio,Enciso,12,3,55,0,0,a,100,,2026-08-22T18:00:07.551930Z,3.2,13,3.2,340,4,0.9,537,1120,0,2,0,10,1,0,0,0,72,53.6,48.9,62.0,16.5,0.92,0.81,1.73,0.24,0.21,0.45,1.78,26,6.88,,,,2.4,3.2,3.2
592,Ouattara,Abdoul,Ouattara,12,2,40,0,0,a,,,,1.0,4,1.0,41,0,0.9,173,273,0,0,0,1,0,0,0,0,12,9.4,24.6,0.0,3.4,0.00,0.02,0.02,0.0,0.04,0.04,1.95,3,6.59,,,,1.0,1.0,1.0
602,Humphreys,Cameron,Humphreys,12,3,45,0,0,u,0,Has joined Huddersfield Town on loan for the rest of the season,2026-09-02T16:04:17.524642Z,0.0,0,0.0,0,0,0.0,0,65,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
619,Palacios,Exequiel,Palacios,12,3,50,0,0,a,,,,3.0,9,3.0,195,2,0.0,86,51,0,0,0,6,0,0,0,0,49,27.4,34.5,2.0,6.4,0.00,0.07,0.07,0.0,0.03,0.03,1.49,38,17.54,,,,1.8,3.0,3.0
640,Flemming,Zian,Flemming,12,4,55,0,0,a,,,,3.0,6,3.0,51,0,0.0,313,58,1,0,0,1,0,0,0,0,36,3.2,0.5,7.0,1.1,0.54,0.01,0.55,0.95,0.02,0.97,0.83,2,3.53,,,,1.1,3.0,3.0
260,Wilson,Harry,Wilson,13,3,63,-2,0,a,,,,1.0,4,1.3,127,1,2.7,126,4026,0,0,1,0,1,0,0,0,15,16.0,47.7,12.0,7.7,0.01,0.06,0.07,0.01,0.04,0.05,2.11,9,6.38,,2,2,0.6,1.0,1.0
326,Perri,Lucas Estella,Perri,13,1,45,0,0,u,0,Has joined Torino on loan for the rest of the season,2026-09-01T13:12:39.210133Z,0.0,0,0.0,0,0,0.4,0,273,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
327,Bijol,Jaka,Bijol,13,2,50,0,0,a,,,,3.0,12,4.0,164,2,0.8,214,522,0,0,1,2,0,0,0,2,29,38.2,0.6,15.0,5.4,0.11,0.00,0.11,0.06,0.0,0.06,1.73,21,11.52,,,,2.4,3.0,3.0
329,Rodon,Joe,Rodon,13,2,44,-1,0,i,0,Hamstring injury - Expected back 21 Nov,2026-08-30T16:00:08.564382Z,1.8,7,3.5,123,2,1.2,9,1796,0,0,1,0,0,0,0,0,25,23.0,14.7,7.0,4.5,0.03,0.06,0.09,0.02,0.04,0.06,0.74,11,8.05,,,,1.6,0.0,0.0
330,Bogle,Jayden,Bogle,13,2,45,0,0,a,,,,5.5,22,7.3,217,3,2.1,4067,671,1,0,2,1,1,0,0,3,63,61.0,14.1,37.0,11.2,0.90,0.03,0.93,0.37,0.01,0.38,0.68,12,4.98,,,,4.9,5.5,5.5
331,Gudmundsson,Gabriel,Gudmundsson,13,2,45,0,0,a,100,,2026-08-08T20:00:07.546568Z,0.5,2,2.0,90,1,0.1,48,24,0,0,0,1,0,0,0,0,9,12.6,1.2,2.0,1.6,0.00,0.00,0.00,0.0,0.0,0.0,2.19,5,5.0,,,,0.4,0.5,0.5
332,Justin,James,Justin,13,2,45,0,0,a,,,,4.0,16,5.3,270,3,1.5,513,444,0,0,1,2,0,0,0,2,49,66.0,15.6,32.0,11.3,0.17,0.02,0.19,0.06,0.01,0.07,1.51,30,10.0,,,,3.6,4.0,4.0
333,Bornauw,Sebastiaan,Bornauw,13,2,45,0,0,u,0,Has joined Hamburg SV on loan for the rest of the season,2026-08-19T13:56:14.645970Z,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
334,Muharemović,Tarik,Muharemović,13,2,50,0,0,a,,,,3.5,14,4.7,270,3,3.9,1408,721,0,0,1,2,0,0,0,0,52,96.4,2.2,21.0,11.9,0.09,0.02,0.11,0.03,0.01,0.04,1.51,39,13.0,,,,2.8,3.5,3.5
335,Stach,Anton,Stach,13,3,60,0,0,a,,,,4.8,19,6.3,270,3,2.7,612,2233,1,0,1,2,0,0,0,3,57,87.8,35.8,39.0,16.3,0.49,0.16,0.65,0.16,0.05,0.21,1.51,38,12.67,,1,1,3.2,4.8,4.8
336,Okafor,Noah,Okafor,13,3,59,-1,0,a,,,,1.5,6,2.0,153,2,0.3,69,353,0,0,1,1,0,0,0,0,30,17.8,22.1,16.0,5.6,0.08,0.18,0.26,0.05,0.11,0.16,0.65,7,4.12,,,,1.0,1.5,1.5
337,Aaronson,Brenden,Aaronson,13,3,54,-1,0,a,,,,1.2,5,1.7,154,2,0.6,52,476,0,0,1,2,0,0,0,0,27,10.2,2.7,7.0,2.0,0.01,0.02,0.03,0.01,0.01,0.02,1.8,10,5.84,,,4,0.9,1.2,1.2
338,Ampadu,Ethan,Ampadu,13,3,54,-1,0,a,,,,2.2,9,3.0,270,3,1.0,81,817,0,0,1,2,0,0,0,0,43,61.8,41.2,1.0,10.4,0.01,0.14,0.15,0.0,0.05,0.05,1.51,34,11.33,,,,1.7,2.2,2.2
339,Longstaff,Sean,Longstaff,13,3,49,-1,0,a,,,,0.2,1,1.0,8,0,0.1,26,89,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.79,0,0.0,,3,3,0.2,0.2,0.2
341,Gnonto,Wilfried,Gnonto,13,3,50,0,0,u,0,Has joined ACF Fiorentina on loan for the rest of the season,2026-09-02T16:04:47.189648Z,0.0,0,0.0,0,0,0.0,0,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
